timeStamps,bufferSizes,bufferingStates,bufferingEvents,newBitrates,oldBitrates,resolutions,streamBandwidths,estimatedBandwidths
2024-09-18 02:27:43,1.0,1,5.289999961853027,2096000,1196000,960p,2,4.4
2024-09-18 02:27:46,1.0,1,6.509000062942505,2096000,1196000,960p,2,5
2024-09-18 02:27:47,1.0,0,6.509000062942505,2096000,1196000,960p,2,5
2024-09-18 02:27:48,1.0,0,6.509000062942505,2096000,1196000,960p,2,6.4
2024-09-18 02:27:49,1.0,0,6.509000062942505,2096000,1196000,960p,2,6.4
2024-09-18 02:27:50,0.5,0,6.509000062942505,6096000,2096000,1920p,5.9,6.4
2024-09-18 02:27:52,1.0,1,7.033999919891357,6096000,2096000,1920p,5.9,6
2024-09-18 02:27:53,0.4,0,7.033999919891357,6096000,2096000,1920p,5.9,5.8
2024-09-18 02:27:54,1.0,1,7.648000001907349,6096000,2096000,1920p,5.9,7.2
2024-09-18 02:27:56,1.0,1,8.306999921798706,6096000,2096000,1920p,5.9,8
2024-09-18 02:27:57,0.9,0,8.306999921798706,6096000,2096000,1920p,5.9,8
2024-09-18 02:27:59,1.0,1,9.085000038146973,6096000,2096000,1920p,5.9,8.5
2024-09-18 02:28:00,0.7,0,9.085000038146973,6096000,2096000,1920p,5.9,8.5
2024-09-18 02:28:02,1.0,1,10.069000005722046,6096000,2096000,1920p,5.9,9.1
2024-09-18 02:28:03,0.5,0,10.069000005722046,6096000,2096000,1920p,5.9,9.1
2024-09-18 02:28:05,1.0,1,10.934999942779541,6096000,2096000,1920p,5.9,9
2024-09-18 02:28:06,0.5,0,10.934999942779541,6096000,2096000,1920p,5.9,8.5
2024-09-18 02:28:08,1.0,1,11.60699987411499,6096000,2096000,1920p,5.9,9.4
2024-09-18 02:28:10,1.0,1,12.551999807357788,6096000,2096000,1920p,5.9,9.4
2024-09-18 02:28:11,1.0,0,12.551999807357788,6096000,2096000,1920p,5.9,9
2024-09-18 02:28:13,1.0,0,12.551999807357788,6096000,2096000,1920p,5.9,9.9
2024-09-18 02:28:14,0.9,0,12.551999807357788,6096000,2096000,1920p,5.9,9.9
2024-09-18 02:28:15,1.0,1,13.346999883651733,6096000,2096000,1920p,5.9,9.8
2024-09-18 02:28:16,0.8,0,13.346999883651733,6096000,2096000,1920p,5.9,9.8
2024-09-18 02:28:18,1.0,1,13.902999877929688,6096000,2096000,1920p,5.9,9.9
2024-09-18 02:28:19,0.7,0,13.902999877929688,2096000,6096000,960p,2,2.5
2024-09-18 02:28:21,1.0,1,14.668999910354614,2096000,6096000,960p,2,9.5
2024-09-18 02:28:22,0.5,0,14.668999910354614,2096000,6096000,960p,2,9.5
2024-09-18 02:28:26,1.0,1,17.198999881744385,2096000,6096000,960p,2,7.9
2024-09-18 02:28:27,1.0,0,17.198999881744385,6096000,2096000,1920p,5.9,7.9
2024-09-18 02:28:28,1.0,0,17.198999881744385,6096000,2096000,1920p,5.9,7.9
2024-09-18 02:28:32,1.0,1,20.20899987220764,6096000,2096000,1920p,5.9,9.1
2024-09-18 02:28:33,0.9,0,20.20899987220764,6096000,2096000,1920p,5.9,9.1
2024-09-18 02:28:35,1.0,1,20.924999713897705,6096000,2096000,1920p,5.9,9.3
2024-09-18 02:28:36,0.7,0,20.924999713897705,6096000,2096000,1920p,5.9,8.9
2024-09-18 02:28:38,1.0,1,21.45799970626831,6096000,2096000,1920p,5.9,9.5
2024-09-18 02:28:39,0.5,0,21.45799970626831,6096000,2096000,1920p,5.9,9.2
2024-09-18 02:28:41,1.0,1,22.14099955558777,6096000,2096000,1920p,5.9,9.4
2024-09-18 02:28:43,1.0,1,22.751999616622925,6096000,2096000,1920p,5.9,9.3
2024-09-18 02:28:44,1.0,0,22.751999616622925,6096000,2096000,1920p,5.9,9.3
2024-09-18 02:28:46,1.0,1,23.764999628067017,6096000,2096000,1920p,5.9,9.3
2024-09-18 02:28:47,0.9,0,23.764999628067017,6096000,2096000,1920p,5.9,9.3
2024-09-18 02:28:48,1.0,1,24.32699966430664,6096000,2096000,1920p,5.9,9.4
2024-09-18 02:28:49,0.8,0,24.32699966430664,6096000,2096000,1920p,5.9,9.4
2024-09-18 02:28:51,1.0,1,24.875999689102173,6096000,2096000,1920p,5.9,9.3
2024-09-18 02:28:52,0.7,0,24.875999689102173,6096000,2096000,1920p,5.9,9.3
2024-09-18 02:28:54,1.0,1,25.667999744415283,6096000,2096000,1920p,5.9,9.3
2024-09-18 02:28:55,0.5,0,25.667999744415283,6096000,2096000,1920p,5.9,9
2024-09-18 02:28:57,1.0,1,26.26199960708618,6096000,2096000,1920p,5.9,9.7
2024-09-18 02:28:59,1.0,1,27.430999755859375,6096000,2096000,1920p,5.9,9.6
2024-09-18 02:29:00,1.0,0,27.430999755859375,6096000,2096000,1920p,5.9,9.6
2024-09-18 02:29:02,1.0,1,28.11199975013733,6096000,2096000,1920p,5.9,9.4
2024-09-18 02:29:03,0.8,0,28.11199975013733,6096000,2096000,1920p,5.9,9.4
2024-09-18 02:29:09,1.0,1,33.36899971961975,6096000,2096000,1920p,5.9,9
2024-09-18 02:29:16,0.1,1,40.049999713897705,6096000,2096000,1920p,5.9,1
2024-09-18 02:29:18,1.0,1,41.25099992752075,6096000,2096000,1920p,5.9,1
2024-09-18 02:29:19,1.0,0,41.25099992752075,6096000,2096000,1920p,5.9,1.1
2024-09-18 02:29:20,0.8,0,41.25099992752075,6096000,2096000,1920p,5.9,1.1
2024-09-18 02:29:22,1.0,1,41.72099995613098,6096000,2096000,1920p,5.9,1.1
2024-09-18 02:29:23,0.6,0,41.72099995613098,6096000,2096000,1920p,5.9,1.1
2024-09-18 02:29:25,1.0,1,42.43600010871887,6096000,2096000,1920p,5.9,1
2024-09-18 02:29:26,0.4,0,42.43600010871887,6096000,2096000,1920p,5.9,1
2024-09-18 02:29:30,1.0,1,46.165000200271606,6096000,2096000,1920p,5.9,1
2024-09-18 02:29:33,1.0,1,48.42900013923645,6096000,2096000,1920p,5.9,1
2024-09-18 02:29:34,1.0,0,48.42900013923645,3096000,6096000,1280p,3,3.2
2024-09-18 02:29:39,1.0,1,52.62700033187866,3096000,6096000,1280p,3,6.1
2024-09-18 02:29:42,1.0,1,54.55000019073486,3096000,6096000,1280p,3,6.6
2024-09-18 02:29:43,1.0,0,54.55000019073486,3096000,6096000,1280p,3,6.6
2024-09-18 02:29:45,1.0,1,55.19500017166138,4596000,6096000,1920p,4.4,1.1
2024-09-18 02:29:46,0.8,0,55.19500017166138,4596000,6096000,1920p,4.4,1.1
2024-09-18 02:29:52,1.0,1,60.34600019454956,4596000,6096000,1920p,4.4,9
2024-09-18 02:29:55,1.0,1,62.248000144958496,6096000,4596000,1920p,5.9,8.8
2024-09-18 02:29:56,1.0,0,62.248000144958496,6096000,4596000,1920p,5.9,8.8
2024-09-18 02:29:58,1.0,1,63.069000005722046,6096000,4596000,1920p,5.9,9.3
2024-09-18 02:29:59,0.9,0,63.069000005722046,6096000,4596000,1920p,5.9,9.3
2024-09-18 02:30:04,1.0,1,67.23000001907349,6096000,4596000,1920p,5.9,9.3
2024-09-18 02:30:07,1.0,1,69.49600005149841,6096000,4596000,1920p,5.9,9.2
2024-09-18 02:30:08,1.0,0,69.49600005149841,6096000,4596000,1920p,5.9,9.2
2024-09-18 02:30:10,1.0,1,70.38499999046326,6096000,4596000,1920p,5.9,9.2
2024-09-18 02:30:11,0.9,0,70.38499999046326,6096000,4596000,1920p,5.9,8.9
2024-09-18 02:30:17,1.0,1,75.37600016593933,6096000,4596000,1920p,5.9,9.6
2024-09-18 02:30:20,1.0,1,77.5329999923706,6096000,4596000,1920p,5.9,9.7
2024-09-18 02:30:21,1.0,0,77.5329999923706,6096000,4596000,1920p,5.9,9.7
2024-09-18 02:30:27,1.0,1,82.14599990844727,6096000,4596000,1920p,5.9,9.4
2024-09-18 02:30:30,1.0,1,84.53600001335144,6096000,4596000,1920p,5.9,9.5
2024-09-18 02:30:31,1.0,0,84.53600001335144,6096000,4596000,1920p,5.9,9.5
2024-09-18 02:30:37,1.0,1,89.19199991226196,4596000,6096000,1920p,4.4,7.7
2024-09-18 02:30:40,1.0,1,91.23199987411499,4596000,6096000,1920p,4.4,7.8
2024-09-18 02:30:41,1.0,0,91.23199987411499,4596000,6096000,1920p,4.4,7.8
2024-09-18 02:30:47,1.0,1,96.55900001525879,6096000,4596000,1920p,5.9,7.6
2024-09-18 02:30:50,1.0,1,98.71799993515015,6096000,4596000,1920p,5.9,7.7
2024-09-18 02:30:51,1.0,0,98.71799993515015,3096000,6096000,1280p,3,3.2
2024-09-18 02:30:56,1.0,1,102.18899989128113,3096000,6096000,1280p,3,6.5
2024-09-18 02:30:59,1.0,1,104.20199990272522,3096000,6096000,1280p,3,6.6
2024-09-18 02:31:00,1.0,0,104.20199990272522,3096000,6096000,1280p,3,6.6
2024-09-18 02:31:01,1.0,1,104.59999990463257,4596000,6096000,1920p,4.4,1.6
2024-09-18 02:31:02,0.8,0,104.59999990463257,4596000,6096000,1920p,4.4,6.4
2024-09-18 02:31:08,1.0,1,109.35899996757507,4596000,6096000,1920p,4.4,7.9
2024-09-18 02:31:11,1.0,1,111.75200009346008,6096000,4596000,1920p,5.9,7.7
2024-09-18 02:31:12,1.0,0,111.75200009346008,6096000,4596000,1920p,5.9,7.7
2024-09-18 02:31:19,1.0,1,117.92300009727478,6096000,4596000,1920p,5.9,8.8
2024-09-18 02:31:22,0.0,1,120.3030002117157,6096000,4596000,1920p,5.9,8.9
2024-09-18 02:31:29,1.0,1,126.9280002117157,6096000,4596000,1920p,5.9,7.9
2024-09-18 02:31:30,1.0,0,126.9280002117157,6096000,4596000,1920p,5.9,7.9
2024-09-18 02:31:32,1.0,0,126.9280002117157,6096000,4596000,1920p,5.9,8.9
2024-09-18 02:31:33,1.0,0,126.9280002117157,6096000,4596000,1920p,5.9,8.9
2024-09-18 02:31:34,0.6,0,126.9280002117157,6096000,4596000,1920p,5.9,9
2024-09-18 02:31:39,1.0,1,131.6410002708435,6096000,4596000,1920p,5.9,8.5
2024-09-18 02:31:42,1.0,1,134.06700015068054,6096000,4596000,1920p,5.9,5.5
2024-09-18 02:31:43,1.0,0,134.06700015068054,6096000,4596000,1920p,5.9,5.1
2024-09-18 02:31:45,1.0,0,134.09400033950806,6096000,4596000,1920p,5.9,3.8
2024-09-18 02:31:46,0.9,0,134.09400033950806,6096000,4596000,1920p,5.9,3.8
2024-09-18 02:31:51,1.0,1,138.63400030136108,6096000,4596000,1920p,5.9,6.6
2024-09-18 02:31:54,1.0,1,140.76700019836426,6096000,4596000,1920p,5.9,7.3
2024-09-18 02:31:55,1.0,0,140.76700019836426,6096000,4596000,1920p,5.9,9.3
2024-09-18 02:31:56,1.0,0,140.76700019836426,6096000,4596000,1920p,5.9,9.3
2024-09-18 02:31:57,0.8,0,140.76700019836426,6096000,4596000,1920p,5.9,9.3
2024-09-18 02:32:02,1.0,1,144.83900022506714,6096000,4596000,1920p,5.9,9.5
2024-09-18 02:32:05,1.0,1,147.02200031280518,6096000,4596000,1920p,5.9,9.5
2024-09-18 02:32:06,0.9,0,147.02200031280518,6096000,4596000,1920p,5.9,9.5
2024-09-18 02:32:08,1.0,1,147.79400038719177,6096000,4596000,1920p,5.9,9.6
2024-09-18 02:32:09,0.8,0,147.79400038719177,6096000,4596000,1920p,5.9,9.6
2024-09-18 02:32:11,1.0,1,148.39500045776367,6096000,4596000,1920p,5.9,9.7
2024-09-18 02:32:12,0.4,0,148.4110004901886,6096000,4596000,1920p,5.9,9.7
2024-09-18 02:32:17,1.0,1,153.31200051307678,6096000,4596000,1920p,5.9,8.1
2024-09-18 02:32:23,0.2,1,158.99200057983398,6096000,4596000,1920p,5.9,9.3
2024-09-18 02:32:26,1.0,1,161.32200050354004,6096000,4596000,1920p,5.9,9.8
2024-09-18 02:32:27,1.0,0,161.32200050354004,6096000,4596000,1920p,5.9,1
2024-09-18 02:32:28,1.0,0,161.32200050354004,6096000,4596000,1920p,5.9,1
2024-09-18 02:32:30,1.0,1,161.9170002937317,6096000,4596000,1920p,5.9,1
2024-09-18 02:32:31,1.0,0,161.9170002937317,6096000,4596000,1920p,5.9,1
2024-09-18 02:32:33,1.0,1,162.48600029945374,6096000,4596000,1920p,5.9,1
2024-09-18 02:32:34,0.8,0,162.48600029945374,6096000,4596000,1920p,5.9,1
2024-09-18 02:32:39,1.0,1,167.18200016021729,6096000,4596000,1920p,5.9,9.8
2024-09-18 02:32:43,1.0,1,169.61400032043457,6096000,4596000,1920p,5.9,9.9
2024-09-18 02:32:44,0.9,0,169.61400032043457,6096000,4596000,1920p,5.9,9.9
2024-09-18 02:32:45,1.0,0,169.61400032043457,6096000,4596000,1920p,5.9,8.2
2024-09-18 02:32:46,0.8,0,169.61400032043457,6096000,4596000,1920p,5.9,8.2
2024-09-18 02:32:49,1.0,1,172.12500023841858,6096000,4596000,1920p,5.9,9
2024-09-18 02:32:53,1.0,1,174.58900022506714,6096000,4596000,1920p,5.9,8.7
2024-09-18 02:32:54,0.9,0,174.58900022506714,6096000,4596000,1920p,5.9,8.7
2024-09-18 02:32:56,1.0,1,175.882000207901,6096000,4596000,1920p,5.9,8.7
2024-09-18 02:32:57,0.7,0,175.882000207901,6096000,4596000,1920p,5.9,8.7
2024-09-18 02:33:05,1.0,1,183.4800000190735,6096000,4596000,1920p,5.9,6.2
2024-09-18 02:33:10,0.1,1,188.67600011825562,6096000,4596000,1920p,5.9,7.6
2024-09-18 02:33:16,1.0,1,194.86800026893616,6096000,4596000,1920p,5.9,7.4
2024-09-18 02:33:19,1.0,1,196.68300032615662,6096000,4596000,1920p,5.9,8.4
2024-09-18 02:33:20,0.9,0,196.68300032615662,6096000,4596000,1920p,5.9,8.4
2024-09-18 02:33:23,1.0,1,197.60500025749207,6096000,4596000,1920p,5.9,8.6
2024-09-18 02:33:24,0.6,0,197.60500025749207,6096000,4596000,1920p,5.9,8.6
2024-09-18 02:33:29,1.0,1,202.7200002670288,6096000,4596000,1920p,5.9,8.4
2024-09-18 02:33:35,0.2,1,208.94900012016296,6096000,4596000,1920p,5.9,8.1
2024-09-18 02:33:38,1.0,1,210.28700017929077,6096000,4596000,1920p,5.9,8.2
2024-09-18 02:33:40,1.0,1,211.78600001335144,6096000,4596000,1920p,5.9,8.1
2024-09-18 02:33:41,1.0,0,211.78600001335144,6096000,4596000,1920p,5.9,8.1
2024-09-18 02:33:49,1.0,1,219.32200002670288,6096000,4596000,1920p,5.9,3.3
2024-09-18 02:34:07,1.0,1,236.4340000152588,1196000,3096000,768p,1.1,1
2024-09-18 02:34:09,1.0,1,237.61800003051758,1196000,3096000,768p,1.1,1.3
2024-09-18 02:34:10,1.0,0,237.61800003051758,1196000,3096000,768p,1.1,1.3
2024-09-18 02:34:11,0.5,0,237.61800003051758,1196000,3096000,768p,1.1,1.3
2024-09-18 02:34:14,1.0,1,239.125,1196000,3096000,768p,1.1,1.1
2024-09-18 02:34:16,1.0,1,239.57599997520447,1196000,3096000,768p,1.1,1.4
2024-09-18 02:34:17,1.0,0,239.57599997520447,1196000,3096000,768p,1.1,1.4
2024-09-18 02:34:18,1.0,1,239.8880000114441,1196000,3096000,768p,1.1,1.7
2024-09-18 02:34:19,1.0,0,239.8880000114441,1196000,3096000,768p,1.1,1.7
2024-09-18 02:34:20,1.0,1,240,1196000,3096000,768p,1.1,1.9
2024-09-18 02:34:22,0.8,0,240,1196000,3096000,768p,1.1,1.9
2024-09-18 02:34:23,1.0,1,240.1010000705719,1196000,3096000,768p,1.1,2.1
2024-09-18 02:34:24,0.5,0,240.1010000705719,1196000,3096000,768p,1.1,2.1
2024-09-18 02:34:25,1.0,1,240.3140001296997,1196000,3096000,768p,1.1,2.3
2024-09-18 02:34:26,0.3,0,240.3140001296997,1196000,3096000,768p,1.1,2.3
2024-09-18 02:34:29,1.0,1,242.8140001296997,1196000,3096000,768p,1.1,2.7
2024-09-18 02:34:33,1.0,1,245.35700011253357,2096000,1196000,960p,2,2.8
2024-09-18 02:34:34,1.0,0,245.35700011253357,2096000,1196000,960p,2,2.9
2024-09-18 02:34:35,1.0,1,246.03400015830994,2096000,1196000,960p,2,3.4
2024-09-18 02:34:37,0.8,0,246.03400015830994,2096000,1196000,960p,2,3.3
2024-09-18 02:34:38,1.0,1,246.40300011634827,2096000,1196000,960p,2,3.5
2024-09-18 02:34:39,0.5,0,246.40300011634827,3096000,2096000,1280p,3,3.6
2024-09-18 02:34:41,1.0,1,246.61100006103516,3096000,2096000,1280p,3,3.7
2024-09-18 02:34:42,0.3,0,246.6450002193451,3096000,2096000,1280p,3,3.7
2024-09-18 02:34:43,1.0,1,247.12400007247925,1196000,3096000,768p,1.1,9.1
2024-09-18 02:34:48,1.0,1,250.6650002002716,1196000,3096000,768p,1.1,4.3
2024-09-18 02:34:51,1.0,1,252.41800022125244,1196000,3096000,768p,1.1,4.2
2024-09-18 02:34:52,1.0,0,252.41800022125244,1196000,3096000,768p,1.1,4.2
2024-09-18 02:34:53,1.0,1,252.8950002193451,1196000,3096000,768p,1.1,3.9
2024-09-18 02:34:54,0.9,0,252.8950002193451,1196000,3096000,768p,1.1,4.2
2024-09-18 02:34:55,1.0,0,252.91100025177002,1196000,3096000,768p,1.1,3.6
2024-09-18 02:34:56,0.8,0,252.91100025177002,1196000,3096000,768p,1.1,3.4
2024-09-18 02:34:58,1.0,1,253.1300003528595,1196000,3096000,768p,1.1,3.5
2024-09-18 02:34:59,0.6,0,253.1300003528595,1196000,3096000,768p,1.1,3.6
2024-09-18 02:35:00,1.0,1,253.68600034713745,1196000,3096000,768p,1.1,3.8
2024-09-18 02:35:01,0.5,0,253.68600034713745,3096000,1196000,1280p,3,3.8
2024-09-18 02:35:03,1.0,0,253.68600034713745,3096000,1196000,1280p,3,3.9
2024-09-18 02:35:04,0.4,0,253.68600034713745,3096000,1196000,1280p,3,3.8
2024-09-18 02:35:05,1.0,1,254.03900027275085,3096000,1196000,1280p,3,4.5
2024-09-18 02:35:11,1.0,1,258.6230003833771,3096000,1196000,1280p,3,4.9
2024-09-18 02:35:14,1.0,1,260.74700021743774,3096000,1196000,1280p,3,5
2024-09-18 02:35:15,1.0,0,260.74700021743774,3096000,1196000,1280p,3,5
2024-09-18 02:35:16,1.0,1,261.32200026512146,3096000,1196000,1280p,3,4.3
2024-09-18 02:35:18,1.0,0,261.32200026512146,3096000,1196000,1280p,3,4.3
2024-09-18 02:35:22,1.0,1,265.103000164032,3096000,1196000,1280p,3,4.9
2024-09-18 02:35:26,1.0,1,268.2160003185272,3096000,1196000,1280p,3,3.9
2024-09-18 02:35:27,1.0,0,268.2160003185272,3096000,1196000,1280p,3,3.9
2024-09-18 02:35:33,1.0,1,273.60200023651123,3096000,1196000,1280p,3,3.3
2024-09-18 02:35:40,0.1,1,279.79300022125244,3096000,1196000,1280p,3,4.3
2024-09-18 02:35:42,0.9,1,280.3860001564026,3096000,1196000,1280p,3,5.5
2024-09-18 02:35:43,1.0,0,280.3860001564026,3096000,1196000,1280p,3,5.5
2024-09-18 02:35:44,0.8,0,280.3860001564026,3096000,1196000,1280p,3,5.5
2024-09-18 02:35:45,1.0,0,280.3860001564026,4596000,3096000,1920p,4.4,4.6
2024-09-18 02:35:46,0.7,0,280.3860001564026,4596000,3096000,1920p,4.4,5.2
2024-09-18 02:35:49,1.0,1,282.1520001888275,4596000,3096000,1920p,4.4,5.4
2024-09-18 02:35:50,0.5,0,282.18400025367737,4596000,3096000,1920p,4.4,5.3
2024-09-18 02:35:55,1.0,1,287.80000019073486,4596000,3096000,1920p,4.4,5
2024-09-18 02:35:59,1.0,1,289.7700002193451,4596000,3096000,1920p,4.4,5.2
2024-09-18 02:36:00,1.0,0,289.7700002193451,4596000,3096000,1920p,4.4,5.2
2024-09-18 02:36:05,1.0,1,294.0950002670288,4596000,3096000,1920p,4.4,5.6
2024-09-18 02:36:11,0.3,1,300.485000371933,4596000,3096000,1920p,4.4,6.5
2024-09-18 02:36:14,1.0,1,302.2720003128052,4596000,3096000,1920p,4.4,6.5
2024-09-18 02:36:17,1.0,1,303.7000002861023,4596000,3096000,1920p,4.4,5.9
2024-09-18 02:36:18,0.9,0,303.7000002861023,4596000,3096000,1920p,4.4,5.9
2024-09-18 02:36:23,1.0,1,308.16000032424927,4596000,3096000,1920p,4.4,6.1
2024-09-18 02:36:27,1.0,1,310.6830003261566,4596000,3096000,1920p,4.4,5.6
2024-09-18 02:36:28,1.0,0,310.6830003261566,4596000,3096000,1920p,4.4,5.6
2024-09-18 02:36:33,1.0,1,315.4810001850128,4596000,3096000,1920p,4.4,5.9
2024-09-18 02:36:36,1.0,1,317.57800030708313,4596000,3096000,1920p,4.4,6
2024-09-18 02:36:37,1.0,0,317.57800030708313,4596000,3096000,1920p,4.4,6
2024-09-18 02:36:42,1.0,1,321.7290003299713,4596000,3096000,1920p,4.4,6.2
2024-09-18 02:36:45,1.0,1,323.5290002822876,4596000,3096000,1920p,4.4,5.9
2024-09-18 02:36:46,1.0,0,323.5290002822876,4596000,3096000,1920p,4.4,5.9
2024-09-18 02:36:48,1.0,1,324.467000246048,4596000,3096000,1920p,4.4,6.2
2024-09-18 02:36:49,1.0,0,324.467000246048,4596000,3096000,1920p,4.4,6.2
2024-09-18 02:36:51,1.0,1,324.8340001106262,4596000,3096000,1920p,4.4,6.3
2024-09-18 02:36:52,1.0,0,324.8340001106262,4596000,3096000,1920p,4.4,6.7
2024-09-18 02:36:53,1.0,0,324.8340001106262,4596000,3096000,1920p,4.4,6.7
2024-09-18 02:36:54,0.6,0,324.8340001106262,4596000,3096000,1920p,4.4,6.7
2024-09-18 02:37:00,1.0,1,330.35700011253357,6096000,4596000,1920p,5.9,7.4
2024-09-18 02:37:06,0.2,1,337.0290002822876,6096000,4596000,1920p,5.9,8.2
2024-09-18 02:37:10,1.0,1,339.1410002708435,6096000,4596000,1920p,5.9,8.5
2024-09-18 02:37:15,1.0,1,343.87200021743774,6096000,4596000,1920p,5.9,7.6
2024-09-18 02:37:22,0.1,1,350.7730002403259,6096000,4596000,1920p,5.9,7.4
2024-09-18 02:37:26,1.0,1,353.03400015830994,6096000,4596000,1920p,5.9,7.5
2024-09-18 02:37:31,1.0,1,357.78900027275085,6096000,4596000,1920p,5.9,7.5
2024-09-18 02:37:38,0.2,1,364.61800026893616,6096000,4596000,1920p,5.9,8.1
2024-09-18 02:37:41,1.0,1,366.68300008773804,6096000,4596000,1920p,5.9,8.2
2024-09-18 02:37:42,1.0,0,366.68300008773804,6096000,4596000,1920p,5.9,8.7
2024-09-18 02:37:43,1.0,0,366.68300008773804,6096000,4596000,1920p,5.9,8.7
2024-09-18 02:37:49,1.0,1,371.5600001811981,6096000,4596000,1920p,5.9,7.9
2024-09-18 02:37:52,1.0,1,373.59600019454956,6096000,4596000,1920p,5.9,8.2
2024-09-18 02:37:53,1.0,0,373.59600019454956,6096000,4596000,1920p,5.9,8.2
2024-09-18 02:37:55,1.0,1,374.114000082016,6096000,4596000,1920p,5.9,8.2
2024-09-18 02:37:56,1.0,0,374.114000082016,6096000,4596000,1920p,5.9,8.2
2024-09-18 02:38:01,1.0,1,379.12000012397766,6096000,4596000,1920p,5.9,8.5
2024-09-18 02:38:09,0.1,1,386.3270001411438,6096000,4596000,1920p,5.9,8.8
2024-09-18 02:38:12,1.0,1,388.4140000343323,6096000,4596000,1920p,5.9,8.5
2024-09-18 02:38:18,1.0,1,393.4010000228882,6096000,4596000,1920p,5.9,8.2
2024-09-18 02:38:26,0.1,1,401.835000038147,6096000,4596000,1920p,5.9,8.1
2024-09-18 02:38:32,0.9,1,407.4079999923706,6096000,4596000,1920p,5.9,8.6
2024-09-18 02:38:34,1.0,1,409.2460000514984,6096000,4596000,1920p,5.9,8.6
2024-09-18 02:38:36,0.9,0,409.2460000514984,6096000,4596000,1920p,5.9,8.4
2024-09-18 02:38:37,1.0,1,409.75999999046326,6096000,4596000,1920p,5.9,8.4
2024-09-18 02:38:38,0.7,0,409.75999999046326,6096000,4596000,1920p,5.9,8.4
2024-09-18 02:38:43,1.0,1,414.6180000305176,6096000,4596000,1920p,5.9,8.3
2024-09-18 02:38:46,1.0,1,415.72100019454956,6096000,4596000,1920p,5.9,8.9
2024-09-18 02:38:47,0.9,0,415.72100019454956,6096000,4596000,1920p,5.9,8.9
2024-09-18 02:38:49,1.0,1,416.8540003299713,6096000,4596000,1920p,5.9,7.2
2024-09-18 02:38:50,0.6,0,416.8540003299713,6096000,4596000,1920p,5.9,7.2
